verts 146
faces 288

[1,3,2]
[1,4,3]
[1,5,4]
[1,6,5]
[1,7,6]
[1,8,7]
[1,9,8]
[1,10,9]
[1,11,10]
[1,12,11]
[1,13,12]
[1,14,13]
[1,15,14]
[1,16,15]
[1,17,16]
[1,18,17]
[1,19,18]
[1,20,19]
[1,21,20]
[1,22,21]
[1,23,22]
[1,24,23]
[1,25,24]
[1,2,25]
[2,27,26]
[2,3,27]
[3,28,27]
[3,4,28]
[4,29,28]
[4,5,29]
[5,30,29]
[5,6,30]
[6,31,30]
[6,7,31]
[7,32,31]
[7,8,32]
[8,33,32]
[8,9,33]
[9,34,33]
[9,10,34]
[10,35,34]
[10,11,35]
[11,36,35]
[11,12,36]
[12,37,36]
[12,13,37]
[13,38,37]
[13,14,38]
[14,39,38]
[14,15,39]
[15,40,39]
[15,16,40]
[16,41,40]
[16,17,41]
[17,42,41]
[17,18,42]
[18,43,42]
[18,19,43]
[19,44,43]
[19,20,44]
[20,45,44]
[20,21,45]
[21,46,45]
[21,22,46]
[22,47,46]
[22,23,47]
[23,48,47]
[23,24,48]
[24,49,48]
[24,25,49]
[25,26,49]
[25,2,26]
[26,51,50]
[26,27,51]
[27,52,51]
[27,28,52]
[28,53,52]
[28,29,53]
[29,54,53]
[29,30,54]
[30,55,54]
[30,31,55]
[31,56,55]
[31,32,56]
[32,57,56]
[32,33,57]
[33,58,57]
[33,34,58]
[34,59,58]
[34,35,59]
[35,60,59]
[35,36,60]
[36,61,60]
[36,37,61]
[37,62,61]
[37,38,62]
[38,63,62]
[38,39,63]
[39,64,63]
[39,40,64]
[40,65,64]
[40,41,65]
[41,66,65]
[41,42,66]
[42,67,66]
[42,43,67]
[43,68,67]
[43,44,68]
[44,69,68]
[44,45,69]
[45,70,69]
[45,46,70]
[46,71,70]
[46,47,71]
[47,72,71]
[47,48,72]
[48,73,72]
[48,49,73]
[49,50,73]
[49,26,50]
[50,75,74]
[50,51,75]
[51,76,75]
[51,52,76]
[52,77,76]
[52,53,77]
[53,78,77]
[53,54,78]
[54,79,78]
[54,55,79]
[55,80,79]
[55,56,80]
[56,81,80]
[56,57,81]
[57,82,81]
[57,58,82]
[58,83,82]
[58,59,83]
[59,84,83]
[59,60,84]
[60,85,84]
[60,61,85]
[61,86,85]
[61,62,86]
[62,87,86]
[62,63,87]
[63,88,87]
[63,64,88]
[64,89,88]
[64,65,89]
[65,90,89]
[65,66,90]
[66,91,90]
[66,67,91]
[67,92,91]
[67,68,92]
[68,93,92]
[68,69,93]
[69,94,93]
[69,70,94]
[70,95,94]
[70,71,95]
[71,96,95]
[71,72,96]
[72,97,96]
[72,73,97]
[73,74,97]
[73,50,74]
[74,99,98]
[74,75,99]
[75,100,99]
[75,76,100]
[76,101,100]
[76,77,101]
[77,102,101]
[77,78,102]
[78,103,102]
[78,79,103]
[79,104,103]
[79,80,104]
[80,105,104]
[80,81,105]
[81,106,105]
[81,82,106]
[82,107,106]
[82,83,107]
[83,108,107]
[83,84,108]
[84,109,108]
[84,85,109]
[85,110,109]
[85,86,110]
[86,111,110]
[86,87,111]
[87,112,111]
[87,88,112]
[88,113,112]
[88,89,113]
[89,114,113]
[89,90,114]
[90,115,114]
[90,91,115]
[91,116,115]
[91,92,116]
[92,117,116]
[92,93,117]
[93,118,117]
[93,94,118]
[94,119,118]
[94,95,119]
[95,120,119]
[95,96,120]
[96,121,120]
[96,97,121]
[97,98,121]
[97,74,98]
[98,123,122]
[98,99,123]
[99,124,123]
[99,100,124]
[100,125,124]
[100,101,125]
[101,126,125]
[101,102,126]
[102,127,126]
[102,103,127]
[103,128,127]
[103,104,128]
[104,129,128]
[104,105,129]
[105,130,129]
[105,106,130]
[106,131,130]
[106,107,131]
[107,132,131]
[107,108,132]
[108,133,132]
[108,109,133]
[109,134,133]
[109,110,134]
[110,135,134]
[110,111,135]
[111,136,135]
[111,112,136]
[112,137,136]
[112,113,137]
[113,138,137]
[113,114,138]
[114,139,138]
[114,115,139]
[115,140,139]
[115,116,140]
[116,141,140]
[116,117,141]
[117,142,141]
[117,118,142]
[118,143,142]
[118,119,143]
[119,144,143]
[119,120,144]
[120,145,144]
[120,121,145]
[121,122,145]
[121,98,122]
[146,122,123]
[146,123,124]
[146,124,125]
[146,125,126]
[146,126,127]
[146,127,128]
[146,128,129]
[146,129,130]
[146,130,131]
[146,131,132]
[146,132,133]
[146,133,134]
[146,134,135]
[146,135,136]
[146,136,137]
[146,137,138]
[146,138,139]
[146,139,140]
[146,140,141]
[146,141,142]
[146,142,143]
[146,143,144]
[146,144,145]
[146,145,122]
